SN,Name,Type
90,Kamaila Secondary School in Chisamba,Secondary School
91,Chikankata Secondary School,Secondary School
92,Chindwin High School,Secondary School
93,"Chikola Secondary School,Chingola",Secondary School
94,Chinika High School,Secondary School
95,"Chingola Secondary School, Chingola",Secondary School
96,Chipata Day Secondary School,Secondary School
97,Chipembi Girls' Secondary School,Secondary School
98,Chisale Day Secondary School,Secondary School
99,Chiwala Boys' Secondary School,Secondary School
100,Chizongwe Secondary School,Secondary School
101,Choma Secondary School,Secondary School
102,Chongwe High School,Secondary School
103,Chudleigh House School,Secondary School
104,David Kaunda Technical High School,Secondary School
105,David Livingstone High School,Secondary School
106,Dominican Convent Secondary School,Secondary School
107,Fatima Girls Secondary School,Secondary School
108,Helen Kaunda Girls High School,Secondary School
109,Highridge High School,Secondary School
110,Highland Secondary School,Secondary School
111,Hillcrest Technical High School,Secondary School
112,Holy Cross Secondary School,Secondary School
113,Ibenga Girls' Secondary School,Secondary School
114,International School of Lusaka,Secondary School
115,Isoka Boys High School,Secondary School
116,Jembo Secondary School of Pemba,Secondary School
117,Kabulonga Boys High School,Secondary School
118,Kabulonga Girls’ High School,Secondary School
119,"Kabundi Secondary School, Chingola",Secondary School
120,Kafue Boys Secondary School,Secondary School
121,Kalengwa Secondary School,Secondary School
122,Kabwe Trust,Secondary School
123,Kabwe High school,Secondary School
124,Kalonga secondary school,Secondary School
125,Kalomo Secondary School,Secondary School
126,Kamaila Secondary School,Secondary School
127,Kambule Secondary School,Secondary School
128,Kamwala High School,Secondary School
129,Kasama Boys High School,Secondary School
130,Kantanshi Trust Secondary School,Secondary School
131,Kansenshi Secondary School,Secondary School
132,Katete Boarding High School,Secondary School
133,Katete Day High School,Secondary School
134,Kenneth Kaunda Secondary School,Secondary School
135,Kitwe Boys Secondary School,Secondary School
136,Lake Road P.T.A School,Secondary School
137,Lechwe Secondary School,Secondary School
138,"Linda High School, Livingstone",Secondary School
139,Lilayi Secondary School,Secondary School
140,Luanshya Boys Secondary School,Secondary School
141,Lubuto High School,Secondary School
142,Lukona High School,Secondary School
143,Lusaka High School,Secondary School
144,"Lwengu School, Monze",Secondary School
145,Lwitikila Girls High School,Secondary School
146,Mable Shaw Secondary School,Secondary School
147,Mary Queen of peace Girls School,Secondary School
148,Maamba Secondary School,Secondary School
149,Mazabuka Girls High School,Secondary School
150,Mbala High School,Secondary School
151,"Meheba High School, Solwezi",Secondary School
152,Mkushi Secondary School,Secondary School
153,Monze Secondary School,Secondary School
154,Mpatamato High School,Secondary School
155,Mpelembe Secondary School,Secondary School
156,Mpongwe Secondary School,Secondary School
157,Mpunde Girls Secondary School,Secondary School
158,Mununga High school,Secondary School
159,Kalungwishi Boarding School,Secondary School
160,kawambwa boys secondary school,Secondary School
161,makeni Secondary School,Secondary School
162,"Mt. Makulu Secondary School, Chilanga",Secondary School
163,Mwinilunga Secondary School,Secondary School
164,Ndola Girls Technical High School,Secondary School
165,Naboye High School,Secondary School
166,Namianga Secondary School,Secondary School
167,Ndeke Secondary School,Secondary School
168,Ndola Girls Technical High School,Secondary School
169,Njase Girls Secondary School,Secondary School
170,Nyimba Secondary School,Secondary School
171,"Nyakangu Private School,Mpika",Secondary School
172,Pemba Secondary School,Secondary School
173,Petauke Boarding High School,Secondary School
174,Petauke Day High School,Secondary School
175,Racecourse School,Secondary School
176,Rosebank Secondary School,Secondary School
177,Roan Antelope Secondary School,Secondary School
178,"Roma Girls Secondary School, Lusaka",Secondary School
179,Rusangu Secondary School,Secondary School
180,"Sekela Secondary School,Chingola",Secondary School
181,"St. Andrews High School, Ndola",Secondary School
182,St. Clements Secondary School,Secondary School
183,"St. Edmund's Secondary School, Mazabuka",Secondary School
184,"St. Francis High School, Malole",Secondary School
185,St. Jones Secondary School,Secondary School
186,"St. Joseph's High School, Monze",Secondary School
187,"St. Marks High School, Mapanza Choma",Secondary School
188,"St. Mary's Minor Seminary, Chipata",Secondary School
189,St. Mary's Secondary School in Kawambwa,Secondary School
190,"St. Mary's Secondary School, Livingstone",Secondary School
191,"St. Mary's Secondary School, Lusaka",Secondary School
192,St. Monica Girls High School,Secondary School
193,"St. Paul's Secondary School, Kabwe",Secondary School
194,Twingi secondary school of Samfya,Secondary School
195,"St. Raphael's Secondary School, Livingstone",Secondary School
196,"St. Theresa Secondary School, Kasama",Secondary School
197,Serenje Boys Technical Secondary School,Secondary School
198,Sikalongo Secondary School,Secondary School
199,"Simba Secondary School, Ndola",Secondary School
200,"Solwezi Technical Secondary School, Solwezi",Secondary School
201,Stella Maris Convent School,Secondary School
202,"Stephen Luwisha Girls School, Kabwe",Secondary School
203,"Tina Trust, Lusaka",Secondary School
204,Zimba Secondary School,Secondary School
205,Nampundwe High School,Secondary School
